リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,室内機サーモＯＮ時間積算
25,27.5,0,0,0,25,27.4,0,0,0,25,27.4,0,0,0,25,27.4,0,0,0,26,27.3,0,0,0,26,26.2,0,0,0,26,27.7,0,0,0,26,27.9,0,0,0
25,27.8,0,0,0,25,27.6,0,0,0,25,27.6,0,0,0,25,27.6,0,0,0,26,27.5,0,0,0,26,26.6,0,0,0,26,27.7,0,0,0,26,27.9,0,0,0
25,27.9,0,0,0,25,27.7,0,0,0,25,27.6,0,0,0,25,27.8,0,0,0,26,27.6,0,0,0,26,27.1,0,0,0,26,27.7,0,0,0,26,27.9,0,0,0
25,28.1,0,0,0,25,27.8,0,0,0,25,27.7,0,0,0,25,27.9,0,0,0,26,27.7,0,0,0,26,27.3,0,0,0,26,27.8,0,0,0,26,28,0,0,0
25,28.1,0,0,0,25,27.9,0,0,0,25,27.7,0,0,0,25,28,0,0,0,26,27.8,0,0,0,26,27.5,0,0,0,26,27.8,0,0,0,26,28,0,0,0
25,27.6,12,12,12,25,27.4,12,12,12,25,27.1,12,12,12,25,27.3,12,12,12,26,27.3,12,12,12,26,27.1,12,12,12,26,26.9,12,12,12,26,27.2,12,12,12
25,26.3,60,60,60,25,26.5,60,53,53,25,24.9,60,46,46,25,25.8,60,60,60,26,25.7,60,7,7,26,25.9,60,17,17,26,26,60,5,5,26,26,60,40,40
25,24.8,60,60,60,25,24.9,60,15,15,25,24.9,60,0,0,25,25.4,60,60,60,26,25.9,60,23,23,26,26.3,60,0,0,26,26.2,60,0,0,26,25.8,60,42,42
25,24.9,60,60,60,25,24.8,60,24,24,25,25.1,60,16,16,25,25.4,60,60,60,26,26,60,20,20,26,26.2,60,13,13,26,26.1,60,0,0,26,25.9,60,41,41
25,24.9,60,60,60,25,25,60,24,24,25,24.9,60,25,25,25,25.3,60,60,60,26,26.2,60,24,24,26,26.1,60,17,17,26,26.1,60,0,0,26,25.9,60,60,60
