ポイント番号,名称,単位,フロア別,用途別,部門別,クラスタリング対象,BL対象,2F4F空調
312000957,KWH 受電電力量,kWh,総電力,総電力,総電力,0,0,0
312000958,電力量(ﾃﾞﾏﾝﾄﾞ制御用),kWh,総電力,総電力,総電力,0,0,0
312000963,EHPK-1 1?4F共用部室外機,kWh,共用,空調,共用,1,1,0
312000964,EHPK-2 2?4F共用部室外機,kWh,共用,空調,共用,1,1,0
312000965,EHPK-3 5?6F共用部系統,kWh,共用,空調,共用,1,0,0
312000966,(AP-7-2)積算予備1,kWh,データ無,データ無,データ無,0,0,0
312000967,(AP-7-2)積算予備2,kWh,データ無,データ無,データ無,0,0,0
312000968,GHEX-1 1F共用部系室外機,kWh,共用,空調,共用,1,1,0
312000969,GHEX-2 2F共用部系室外機,kWh,共用,空調,共用,1,1,0
312000970,GHEX-3 3F共用部系室外機,kWh,共用,空調,共用,1,1,0
312000971,GHEX-4 4F共用部系室外機,kWh,共用,空調,共用,1,1,0
312000972,GHEX-5 5?6F共用部系統,kWh,共用,空調,共用,1,0,0
312000973,EHP1-1 1F南東系統室外機,kWh,1,空調,専有,1,1,0
312000974,EHP1-2 1F北西系統室外機,kWh,1,空調,専有,1,1,0
312000975,EHP1-3 1F北東系統室外機,kWh,1,空調,専有,1,1,0
312000976,EHP2-1 2F南西系統室外機,kWh,2,空調,専有,1,0,1
312000977,EHP2-2 2F南東系統室外機,kWh,2,空調,専有,1,2,2
312000978,EHP2-3 2F北西系統室外機,kWh,2,空調,専有,1,1,3
312000979,EHP2-4 2F北東系統室外機,kWh,2,空調,専有,1,1,4
312000980,EHP2-5 2Fﾍﾟﾘ北西 室外機,kWh,2,空調,専有,1,0,5
312000981,EHP2-6 2Fﾍﾟﾘ南西 室外機,kWh,2,空調,専有,1,0,6
312000982,EHP3-1 3F南西系統室外機,kWh,3,空調,専有,1,1,1
312000983,EHP3-2 3F南東系統室外機,kWh,3,空調,専有,1,1,2
312000984,EHP3-3 3F北西系統室外機,kWh,3,空調,専有,1,1,3
312000985,EHP3-4 3F北東系統室外機,kWh,3,空調,専有,1,1,4
312000986,EHP3-5 3Fﾍﾟﾘ北西 室外機,kWh,3,空調,専有,1,0,5
312000987,EHP3-6 3Fﾍﾟﾘ南西 室外機,kWh,3,空調,専有,1,0,6
312000988,EHP4-1 4F南西系統室外機,kWh,4,空調,専有,1,1,1
312000989,EHP4-2 4F南東系統室外機,kWh,4,空調,専有,1,0,2
312000990,EHP4-3 4F北西系統室外機,kWh,4,空調,専有,1,1,3
312000991,EHP4-4 4F北東系統室外機,kWh,4,空調,専有,1,2,4
312000992,EHP4-5 4Fﾍﾟﾘ北西 室外機,kWh,4,空調,専有,1,1,5
312000993,EHP4-6 4Fﾍﾟﾘ南西 室外機,kWh,4,空調,専有,1,1,6
312000994,EHP5-1 5F南西系統室外機,kWh,5,空調,専有,1,0,0
312000995,EHP5-2 5F南東系統室外機,kWh,5,空調,専有,1,0,0
312000996,EHP5-3 5Fﾍﾟﾘ南西系統室,kWh,5,空調,専有,1,0,0
